"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-4.67149458383717,0.220615241333856,-21.1748497320174,1.62900621361809e-99
"2","age",0.0507257074593421,0.00386719789193304,13.1169153678832,2.63441256937966e-39
"3","gendermale",0.135135430787741,0.1058564274778,1.27659164405564,0.201746453440163
